year,state_min_wage,state,lh_employment,federal_min_wage,eff_min_wage,log_min_wage,log_employment,minwage_change
2012,8.0,CA,1597.875,7.25,8.0,2.0794415416798357,7.376429900488186,0.0
2013,8.0,CA,1675.625,7.25,8.0,2.0794415416798357,7.423941508990223,0.0
2014,9.0,CA,1757.1166666666668,7.25,9.0,2.1972245773362196,7.471429487045062,1.0
2015,9.0,CA,1828.6333333333332,7.25,9.0,2.1972245773362196,7.511324154446022,0.0
2016,10.0,CA,1901.4333333333334,7.25,10.0,2.302585092994046,7.5503632667133775,1.0
2017,10.5,CA,1952.4583333333333,7.25,10.5,2.3513752571634776,7.576844541323951,0.5
2018,11.0,CA,1991.8333333333333,7.25,11.0,2.3978952727983707,7.596810766638826,0.5
2019,12.0,CA,2034.5166666666667,7.25,12.0,2.4849066497880004,7.618013559429162,1.0
2020,12.0,CA,1481.3666666666666,7.25,12.0,2.4849066497880004,7.300720364088464,0.0
2021,13.0,CA,1641.2416666666668,7.25,13.0,2.5649493574615367,7.403208348173296,1.0
2022,14.0,CA,1931.1083333333333,7.25,14.0,2.6390573296152584,7.565849383047146,1.0
2023,15.5,CA,2009.5,7.25,15.5,2.740840023925201,7.605641213889256,1.5
2000,5.15,CO,245.99166666666667,5.15,5.15,1.6389967146756448,5.505297660019827,
2001,5.15,CO,247.15833333333333,5.15,5.15,1.6389967146756448,5.510029156899827,0.0
2002,5.15,CO,246.99166666666667,5.15,5.15,1.6389967146756448,5.5093545978671985,0.0
2003,5.15,CO,245.53333333333333,5.15,5.15,1.6389967146756448,5.503432715342855,0.0
2004,5.15,CO,251.24166666666667,5.15,5.15,1.6389967146756448,5.526415291327378,0.0
2005,5.15,CO,257.44166666666666,5.15,5.15,1.6389967146756448,5.550793157223531,0.0
2006,5.15,CO,264.94166666666666,5.15,5.15,1.6389967146756448,5.579509675968822,0.0
2007,6.85,CO,270.3333333333333,5.85,6.85,1.9242486522741338,5.599655765447303,1.6999999999999993
2008,7.02,CO,273.0833333333333,6.55,7.02,1.9487632180377197,5.609776998910815,0.16999999999999993
2009,7.28,CO,262.44166666666666,7.25,7.28,1.9851308622085946,5.57002883511444,0.2600000000000007
2010,7.24,CO,263.05833333333334,7.25,7.25,1.9810014688665833,5.572375807330352,-0.03000000000000025
2011,7.36,CO,271.425,7.25,7.36,1.9960599327407849,5.603685858117916,0.11000000000000032
2012,7.64,CO,279.69166666666666,7.25,7.64,2.033397603178429,5.63368780593735,0.27999999999999936
2013,7.78,CO,289.325,7.25,7.78,2.0515563381903004,5.667550623734141,0.14000000000000057
